date,cay,indicator
195201,-0.006943,na
195202,0.00019,na
195203,0.001659,na
195204,-0.005911,na
195301,-0.003304,na
195302,-0.006789,0
195303,-0.005817,0
195304,-0.005652,0
195401,0.003111,0
195402,0.003033,0
195403,0.007463,0
195404,0.002369,0
195501,0.001828,0
195502,-0.010763,0
195503,-0.018079,0
195504,-0.010998,0
195601,-0.013143,0
195602,-0.018024,0
195603,-0.015185,0
195604,-0.017797,0
195701,-0.013463,0
195702,-0.014798,0
195703,-0.004688,1
195704,0.002559,0
195801,0.006446,0
195802,0.008799,0
195803,-0.000558,0
195804,-0.00593,0
195901,-0.001154,0
195902,-0.005309,0
195903,0.008059,1
195904,0.009925,1
196001,0.005038,1
196002,0.010035,0
196003,0.009968,0
196004,0.010888,0
196101,0.007161,0
196102,0.007688,0
196103,-0.001936,0
196104,-0.004747,0
196201,-0.002876,0
196202,0.011312,0
196203,0.013272,0
196204,0.006243,0
196301,0.00074,0
196302,-0.001882,0
196303,0.001788,0
196304,0.002613,0
196401,0.000078,0
196402,-0.00613,0
196403,-0.00256,0
196404,-0.004748,0
196501,-0.003994,0
196502,0.004701,0
196503,-0.006485,0
196504,-0.002478,0
196601,0.003152,1
196602,0.005682,1
196603,0.007466,1
196604,-0.001824,1
196701,-0.00891,1
196702,-0.008642,0
196703,-0.012292,0
196704,-0.015664,0
196801,-0.010329,0
196802,-0.016108,1
196803,-0.007267,1
196804,-0.015383,1
196901,-0.006322,1
196902,-0.002,1
196903,-0.008242,1
196904,-0.000457,1
197001,0.0059,1
197002,0.007715,0
197003,0.005371,0
197004,0.009598,0
197101,-0.006137,0
197102,-0.013683,0
197103,-0.013281,0
197104,-0.013319,0
197201,-0.013995,0
197202,-0.006705,0
197203,-0.006418,0
197204,-0.022946,0
197301,-0.018773,0
197302,-0.017266,1
197303,-0.016557,1
197304,-0.012094,1
197401,-0.006304,1
197402,0.006295,1
197403,0.020818,1
197404,0.023526,0
197501,0.019601,0
197502,-0.00391,0
197503,0.016715,0
197504,0.015811,0
197601,0.015452,0
197602,-0.000531,0
197603,-0.014523,0
197604,-0.008338,0
197701,-0.001951,0
197702,-0.011083,0
197703,-0.013518,0
197704,-0.012388,0
197801,-0.007028,0
197802,-0.007549,0
197803,-0.010492,0
197804,-0.010845,1
197901,-0.012144,1
197902,-0.007159,1
197903,-0.009501,1
197904,-0.005745,1
198001,-0.003097,1
198002,-0.010275,0
198003,-0.018079,0
198004,-0.015769,1
198101,-0.010915,1
198102,-0.007442,1
198103,-0.012515,1
198104,-0.015135,0
198201,-0.011646,1
198202,-0.00937,0
198203,-0.008376,0
198204,-0.001098,0
198301,-0.000822,0
198302,0.000213,0
198303,0.008841,0
198304,0.007066,0
198401,-0.00012,0
198402,0.001948,0
198403,0.001976,0
198404,0.001721,0
198501,0.013394,0
198502,0.004879,0
198503,0.014854,0
198504,0.007571,0
198601,-0.000589,0
198602,-0.010015,0
198603,-0.009774,0
198604,-0.010193,0
198701,-0.012831,0
198702,-0.000739,0
198703,-0.007458,0
198704,-0.001428,0
198801,-0.000917,0
198802,-0.002911,0
198803,0.003944,0
198804,0.003093,0
198901,0.003558,1
198902,0.005526,1
198903,0.001464,0
198904,0.003273,0
199001,0.004126,0
199002,0.007844,0
199003,0.020292,0
199004,0.016679,0
199101,0.006151,0
199102,0.009243,0
199103,0.008033,0
199104,-0.000751,0
199201,-0.000317,0
199202,-0.00043,0
199203,0.003394,0
199204,0.006865,0
199301,0.005947,0
199302,0.007818,0
199303,0.012778,0
199304,0.012289,0
199401,0.018583,0
199402,0.019083,0
199403,0.021388,0
199404,0.018793,0
199501,0.015992,0
199502,0.01924,0
199503,0.014838,0
199504,0.014353,0
199601,0.014086,0
199602,0.013236,0
199603,0.011987,0
199604,0.014515,0
199701,0.014544,0
199702,0.003421,0
199703,-0.000196,0
199704,-0.002465,0
199801,-0.01726,0
199802,-0.017033,0
199803,-0.004884,0
199804,-0.021027,0
199901,-0.025087,0
199902,-0.02489,0
199903,-0.018268,0
199904,-0.030233,0
200001,-0.040134,0
200002,-0.027563,1
200003,-0.029774,1
200004,-0.015064,1
200101,-0.011519,0
200102,-0.014568,0
200103,0.01035,0
200104,0.018965,0
200201,0.006229,0
200202,0.01389,0
200203,0.02624,0
200204,0.025462,0
200301,0.029132,0
200302,0.013654,0
200303,0.008879,0
200304,0.001963,0
200401,-0.003182,0
200402,-0.008027,0
200403,-0.008937,0
200404,-0.011507,0
200501,-0.009017,0
200502,-0.010021,0
200503,-0.009307,0
200504,-0.008563,0
200601,-0.020384,1
200602,-0.010628,1
200603,-0.008546,1
200604,-0.016914,1
200701,-0.023432,1
200702,-0.019546,1
200703,-0.015761,0
200704,-0.009354,0
200801,0.001772,0
200802,-0.002631,0
200803,0.020361,0
200804,0.022557,0
200901,0.021832,0
200902,0.001809,0
200903,0.002095,0
200904,0.001437,0
201001,0.001171,0
201002,0.001792,0
201003,-0.002767,0
201004,-0.006081,0
201101,-0.011561,0
201102,-0.003824,0
201103,0.011542,0
201104,0.008022,0
201201,-0.005423,0
201202,-0.002999,0
201203,-0.007754,0
201204,-0.0178,0
201301,-0.004697,0
201302,-0.011676,0
201303,-0.016426,0
201304,-0.018229,0
201401,-0.025337,0
201402,-0.029365,0
201403,-0.025764,0
