obs,INFLATION,INFL0_GB,INFL0_SPF
1968Q4,4.095633,3.5,3.319221
1969Q1,4.642679,3.7,3.265039
1969Q2,4.892826,4,3.238605
1969Q3,5.466312,5.1,6.449581
1969Q4,4.774581,3.9,6.347269
1970Q1,6.238145,4.2,3.088576
1970Q2,5.229409,4.5,6.199744
1970Q3,4.929153,4,3.018656
1970Q4,6.101375,4,4.349642
1971Q1,5.264572,4.5,4.138408
1971Q2,4.13589,4.7,3.78829
1971Q3,2.809721,4.1,2.548545
1971Q4,1.531102,2.4,2.840732
1972Q1,5.027682,5.2,3.982446
1972Q2,1.987773,4,3.351666
1972Q3,2.738417,3.3,3.624591
1972Q4,3.302134,3,3.043712
1973Q1,5.903407,4.9,4.70021
1973Q2,7.349119,5.1,4.629817
1973Q3,7.966801,6,4.477417
1973Q4,8.260901,6.1,6.334708
1974Q1,11.63539,8.1,7.813999
1974Q2,8.933486,9,8.112665
1974Q3,11.22497,9.7,8.390628
1974Q4,12.90035,12.3,10.63194
1975Q1,7.476593,7.3,9.072098
1975Q2,7.025921,7,6.31863
1975Q3,6.733201,7.5,6.230776
1975Q4,6.812898,6.6,6.714847
1976Q1,3.116356,5,5.690299
1976Q2,5.383018,5.3,5.313434
1976Q3,4.463246,5.5,5.532916
1976Q4,5.30365,6.1,5.310945
1977Q1,5.162579,5.2,5.384003
1977Q2,7.825838,6.5,6.521251
1977Q3,5.015266,6.4,5.820918
1977Q4,5.384377,6.8,6.034983
1978Q1,6.954425,7.1,6.239294
1978Q2,9.987716,7.7,7.136364
1978Q3,6.94097,7.4,7.641691
1978Q4,8.314684,7.6,7.768666
1979Q1,8.93511,8.9,8.433206
1979Q2,8.853048,9.6,8.913747
1979Q3,8.20909,8.9,9.073855
1979Q4,8.640438,9.9,9.667677
1980Q1,8.882109,8.1,9.959214
1980Q2,9.340046,10.9,9.980701
1980Q3,8.806093,7.5,8.176795
1980Q4,10.20042,12.4,9.858201
1981Q1,9.33174,11.7,9.331573
1981Q2,10.54743,8.1,9.491131
1981Q3,8.58009,7.2,7.74677
1981Q4,8.393751,9.6,8.660916
1982Q1,4.215012,6.7,6.989708
1982Q2,4.825524,6,5.045703
1982Q3,3.630018,6.4,5.941944
1982Q4,3.787046,6,4.679861
1983Q1,5.352902,4.5,4.340385
1983Q2,2.658992,3.2,4.187919
1983Q3,3.020821,3.8,3.769617
1983Q4,4.280371,4.6,4.319646
1984Q1,4.328743,5.2,4.655807
1984Q2,3.290431,4.3,4.234172
1984Q3,3.88021,3.3,3.83256
1984Q4,4.779171,3.8,3.979617
1985Q1,3.045566,4.2,3.588699
1985Q2,2.594705,2.9,3.539483
1985Q3,2.515541,2.8,3.514605
1985Q4,3.588673,3.3,3.493122
1986Q1,2.279995,4,3.58709
1986Q2,0.666832,2.1,1.770652
1986Q3,3.690787,2.5,2.120068
1986Q4,0.626442,0.7,2.457104
1987Q1,3.932665,2.6,2.804388
1987Q2,4.263837,3.6,4.195239
1987Q3,3.004596,3.7,3.807452
1987Q4,2.28933,2.6,3.439068
1988Q1,1.897426,3.4,3.239986
1988Q2,4.054371,3.6,3.564261
1988Q3,4.063285,4,4.381995
1988Q4,4.639673,5,4.320114
1989Q1,3.906138,3.9,4.266948
1989Q2,4.210486,4.8,4.879146
1989Q3,3.264639,3.4,4.191294
1989Q4,3.513773,3.2,3.839566
1990Q1,4.778462,4.6,4.12481
1990Q2,4.587542,4.4,4.069934
1990Q3,3.773633,4.6,4.347198
1990Q4,3.988619,3.6,4.776668
1991Q1,4.831309,4.7,4.274212
1991Q2,5.452312,3.1,3.301787
1991Q3,2.686004,2,3.272323
1991Q4,2.250465,2.2,2.655702
1992Q1,3.097106,3.8,2.90127
1992Q2,2.692225,2.7,2.99949
1992Q3,1.962879,1.6,2.40141
1992Q4,3.236333,2.4,2.666521
1993Q1,3.535445,3.4,2.79967
1993Q2,0.302456,2.2,2.698986
1993Q3,1.092506,2.5,2.612107
1993Q4,1.338727,2.5,2.595161
1994Q1,2.630289,3,2.799127
1994Q2,2.938571,1.9,2.699945
1994Q3,2.078796,1.5,2.890219
1994Q4,-0.747879,2,2.878665
1995Q1,3.388256,3.1,2.86492
1995Q2,2.276546,2.7,2.851307
1995Q3,2.19694,2.5,2.501249
1995Q4,1.919391,2.1,2.049866
1996Q1,2.236883,3.4,2.498653
1996Q2,3.033585,2.5,2.588863
1996Q3,2.652826,2.3,2.579324
1996Q4,1.858446,2.5,2.19772
1997Q1,2.412089,3.2,2.185712
1997Q2,-1.175512,2.1,2.207562
1997Q3,1.164776,1.9,2.001115
1997Q4,1.139984,1.7,1.931102
1998Q1,0.859092,1.8,1.998896
1998Q2,0.846591,1.6,1.501365
1998Q3,0.658751,1.4,1.188525
1998Q4,0.852961,1.1,1.413459
1999Q1,2.816391,1.7,1.200878
1999Q2,2.300399,1.4,1.200289
1999Q3,1.030879,1.4,1.599255
1999Q4,1.560346,1.7,1.619244
2000Q1,3.253281,2.1,1.764945
2000Q2,2.403989,2.7,2.440307
2000Q3,1.868115,1.5,2.151374
2000Q4,1.748108,2.2,2.141272
2001Q1,3.215838,3,2.358897
2001Q2,2.459062,3.1,2.265989
2001Q3,2.189387,1.5,1.852379
2001Q4,-0.509786141,0.4,1.46517707
