date,return
1950M02,0.99213
1950M03,0.40568
1950M04,4.41248
1950M05,3.853937
1950M06,-5.979297
1950M07,0.844362
1950M08,3.19939
1950M09,5.441004
1950M10,0.410467
1950M11,-0.102459
1950M12,4.509782
1951M01,5.944226
1951M02,0.644273
1951M03,-1.851905
1951M04,4.700843
1951M05,-4.141661
1951M06,-2.636688
1951M07,6.64451
1951M08,3.853366
1951M09,-0.085948
1951M10,-1.385304
1951M11,-0.261895
1951M12,3.816111
1952M01,1.544593
1952M02,-3.713507
1952M03,4.661772
1952M04,-4.404151
1952M05,2.289206
1952M06,4.507113
1952M07,1.747463
1952M08,-1.467407
1952M09,-1.977067
1952M10,-0.081533
1952M11,4.544425
1952M12,3.48494
1953M01,-0.717661
1953M02,-1.836318
1953M03,-2.383391
1953M04,-2.684994
1953M05,-0.325468
1953M06,-1.643422
1953M07,2.495527
1953M08,-5.951413
1953M09,0.128562
1953M10,4.970746
1953M11,0.892501
1953M12,0.201735
1954M01,4.992194
1954M02,0.268045
1954M03,2.976298
1954M04,4.783521
1954M05,3.237881
1954M06,0.068493
1954M07,5.559761
1954M08,-3.459413
1954M09,7.986218
1954M10,-1.969121
1954M11,7.770898
1954M12,4.956868
1955M01,1.790435
1955M02,0.354272
1955M03,-0.490865
1955M04,3.703133
1955M05,-0.131804
1955M06,7.908858
1955M07,5.89171
1955M08,-0.784318
1955M09,1.128394
1955M10,-3.09291
1955M11,7.219982
1955M12,-0.065941
1956M01,-3.718233
1956M02,3.409931
1956M03,6.69617
1956M04,-0.206484
1956M05,-6.798942
1956M06,3.841201
1956M07,5.023887
1956M08,-3.880776
1956M09,-4.653004
1956M10,0.505885
1956M11,-1.103033
1956M12,3.466287
1957M01,-4.268073
1957M02,-3.319241
1957M03,1.945809
1957M04,3.628667
1957M05,3.628175
1957M06,-0.126582
1957M07,1.133513
1957M08,-5.778478
1957M09,-6.391952
1957M10,-3.258554
1957M11,1.594622
1957M12,-4.235121
1958M01,4.187171
1958M02,-2.083914
1958M03,3.038575
1958M04,3.133293
1958M05,1.485232
1958M06,2.574865
1958M07,4.220035
1958M08,1.179706
1958M09,4.724322
1958M10,2.505309
1958M11,2.215677
1958M12,5.071195
1959M01,0.433762
1959M02,-0.072163
1959M03,0.054127
1959M04,3.804759
1959M05,1.875001
1959M06,-0.358515
1959M07,3.429484
1959M08,-1.515307
1959M09,-4.671179
1959M10,1.118893
1959M11,1.312627
1959M12,2.725056
1960M01,-7.414651
1960M02,0.912921
1960M03,-1.399628
1960M04,-1.768344
1960M05,2.649883
1960M06,1.933541
1960M07,-2.508359
1960M08,2.578608
1960M09,-6.229385
1960M10,-0.243195
1960M11,3.948002
1960M12,4.523428
1961M01,6.124192
1961M02,2.651489
1961M03,2.521534
1961M04,0.383524
1961M05,1.895863
1961M06,-2.927038
1961M07,3.227068
1961M08,1.943249
1961M09,-1.988196
1961M10,2.792941
1961M11,3.859276
1961M12,0.321971
1962M01,-3.861153
1962M02,1.613868
1962M03,-0.587773
1962M04,-6.397314
1962M05,-8.991397
1962M06,-8.538143
1962M07,6.162332
1962M08,1.516859
1962M09,-4.940774
1962M10,0.443302
1962M11,9.672461
1962M12,1.34016
1963M01,4.795969
1963M02,-2.927636
1963M03,3.484993
1963M04,4.737998
1963M05,1.422499
1963M06,-2.04045
1963M07,-0.346571
1963M08,4.759777
1963M09,-1.109581
1963M10,3.170947
1963M11,-1.059505
1963M12,2.414957
1964M01,2.657002
1964M02,0.981666
1964M03,1.505322
1964M04,0.605909
1964M05,1.138722
1964M06,1.629062
1964M07,1.807534
1964M08,-1.636301
1964M09,2.831344
1964M10,0.804548
1964M11,-0.51985
1964M12,0.390141
1965M01,3.261853
1965M02,-0.14858
1965M03,-1.463244
1965M04,3.366553
1965M05,-0.777337
1965M06,-4.985384
1965M07,1.334377
1965M08,2.227212
1965M09,3.150489
1965M10,2.697828
1965M11,-0.880297
1965M12,0.891117
1966M01,0.485674
1966M02,-1.803417
1966M03,-2.205687
1966M04,2.030132
1966M05,-5.566085
1966M06,-1.627004
1966M07,-1.354423
1966M08,-8.094024
1966M09,-0.702853
1966M10,4.644877
1966M11,0.311236
1966M12,-0.149272
1967M01,7.527213
1967M02,0.19609
1967M03,3.865325
